Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20141105.How Were the Pyramids Built.lotbZQ55SgU.en.txt,1,1224,50.33,59.03,30.70,66.00,1224.00,16.34,84.64,57.19,13.81,6.70,1.80,0.49,2.04,0.41,1.96,6.94,8.33,12.50,11.11,8.17,7.43,1.14,17.65,4.41,2.21,2.04,3.10,2.04,2.78,2.45,0.33,0.00,0.00,0.08,6.86,0.00,0.08,0.08,0.49,15.03,2.29,2.45,3.27,3.35,1.47,4.17,2.78,1.47,0.65,0.65,0.57,0.16,0.08,0.00,0.25,4.90,0.82,1.88,2.45,0.74,0.16,4.41,10.87,1.39,13.40,1.55,7.60,4.33,1.31,1.31,0.00,0.49,0.08,0.16,0.65,0.00,0.00,0.25,0.33,0.00,2.94,0.08,0.08,0.16,0.00,0.00,0.00,0.65,0.00,1.80,0.00,0.16
20160223.What Exactly is the Present.K4vyRvMASPU.en.txt,1,1429,79.85,71.23,60.99,46.39,1429.00,19.03,89.85,56.05,13.23,6.58,1.05,2.03,2.45,0.42,0.63,6.65,11.13,14.35,7.42,5.67,7.14,1.26,13.65,4.20,2.73,2.66,1.89,2.03,1.96,1.47,0.35,0.00,0.07,0.00,7.49,0.14,0.00,0.00,0.42,14.70,3.57,3.15,1.61,2.80,1.33,4.06,7.07,2.73,3.01,0.56,1.75,1.33,0.35,0.00,0.07,5.25,2.24,1.12,1.61,0.84,0.21,3.36,10.57,0.70,16.03,2.31,7.63,6.16,2.24,1.96,0.07,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.07,0.00,1.82,0.07,0.00,0.14,0.00,0.00,0.00,0.07,0.00,1.47,0.00,0.07
20190312.Why Machines That Bend Are Better.97t7Xj_iBv0.en.txt,1,2109,24.88,67.71,30.68,71.99,2109.00,16.26,86.77,58.08,19.01,7.21,2.13,1.61,2.23,0.24,1.00,11.81,5.07,12.38,10.48,8.77,8.63,1.00,18.87,4.13,2.47,2.23,1.47,2.09,5.22,3.84,1.38,0.14,0.43,0.19,6.69,0.00,0.19,0.05,0.33,13.23,2.18,4.17,1.94,2.42,1.23,2.70,2.42,0.62,0.38,1.38,0.52,0.19,0.28,0.00,0.05,7.35,1.80,1.42,2.56,1.52,0.66,3.18,13.94,1.61,13.13,2.99,7.35,2.99,1.80,0.38,0.24,0.47,0.00,0.00,2.28,0.09,0.71,1.19,0.43,0.00,3.94,0.00,0.00,0.09,0.00,0.00,0.00,0.33,0.00,3.46,0.00,0.05
20200930.The Infinite Pattern That Never Repeats.48sCx-wBs34.en.txt,1,3203,59.16,63.32,28.42,52.72,1601.50,19.58,78.27,53.14,12.89,6.34,1.03,0.31,2.50,1.00,1.50,6.53,7.87,11.86,8.27,6.68,7.99,1.59,13.08,4.09,2.31,1.65,3.84,2.50,2.50,1.97,0.53,0.12,0.03,0.06,7.02,0.00,0.00,0.00,1.03,11.96,2.15,1.50,1.75,3.03,1.90,3.81,1.97,1.44,0.34,0.06,0.37,0.12,0.09,0.00,0.16,4.96,0.59,1.00,2.15,1.37,0.37,3.18,10.27,0.81,13.33,1.50,7.52,4.31,1.12,0.34,0.00,0.16,0.03,0.00,0.94,0.00,0.12,0.09,0.69,0.00,2.53,0.03,0.00,0.06,0.00,0.00,0.00,0.78,0.00,1.59,0.00,0.06
20210719.How a slinky falls in slow motion #shorts.k5s1cMNTmGs.en.txt,1,139,89.23,47.12,88.02,52.78,139.00,16.55,84.89,56.83,10.79,2.16,0.72,0.00,1.44,0.00,0.00,8.63,12.95,16.55,8.63,5.04,7.19,1.44,13.67,7.19,7.19,1.44,0.72,2.16,2.88,2.16,0.72,0.72,0.00,0.00,2.88,0.00,0.00,0.00,0.00,6.47,0.72,0.72,1.44,0.72,1.44,2.88,2.88,0.72,0.00,2.16,1.44,0.00,0.00,0.00,1.44,9.35,0.00,2.16,7.91,1.44,0.00,0.72,12.23,0.72,25.18,7.19,13.67,4.32,0.00,0.72,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.72,0.00,0.00,3.60,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00,2.16,0.00,0.00
20150629.Chernobyl - What It's Like Today.9DWnjcSo9J0.en.txt,1,724,32.04,65.58,33.88,54.37,724.00,19.06,87.15,58.70,18.51,7.32,2.76,0.55,2.90,0.00,1.10,11.19,6.49,12.15,10.36,8.01,8.15,1.10,17.13,4.83,2.76,2.76,1.38,2.76,3.45,2.49,0.97,0.00,0.14,0.41,6.77,0.14,0.00,0.00,0.14,11.88,1.66,2.49,1.93,2.49,2.21,2.35,4.42,2.35,1.52,0.41,0.00,0.00,0.00,0.00,0.00,3.59,0.83,1.10,1.66,0.28,0.28,3.59,12.85,0.69,13.67,0.97,8.29,4.42,1.52,2.07,0.55,0.28,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.00,4.14,0.28,0.00,0.28,0.00,0.00,0.00,0.55,0.00,2.35,0.00,0.69
20111230.Candle Trick.1tXPVTIisl0.en.txt,1,277,46.94,89.01,33.31,45.67,277.00,9.75,84.48,57.40,15.16,8.66,0.72,3.25,4.33,0.00,0.36,6.50,9.75,12.27,9.75,10.11,7.58,1.44,15.52,3.25,0.72,3.25,1.81,1.08,4.69,2.89,1.81,0.00,1.08,0.00,9.39,0.00,0.36,0.00,0.00,7.94,1.08,1.44,0.36,1.08,1.44,2.53,7.94,6.14,0.00,1.81,1.08,0.00,0.72,0.00,0.36,6.14,3.25,0.36,2.17,0.36,0.00,0.36,14.44,3.25,14.44,4.33,6.14,5.05,0.00,1.44,0.00,0.00,0.00,0.00,2.17,0.00,0.72,1.08,0.36,0.00,6.14,0.00,0.00,0.72,0.00,0.00,0.00,0.72,0.00,4.69,0.00,0.00
20130805.Slow-Mo Non-Newtonian Fluid on a Speaker.sWu9CyDwuFs.en.txt,1,518,34.71,48.46,72.11,69.44,518.00,15.25,85.52,60.23,18.15,6.18,2.32,0.77,2.90,0.00,0.19,11.78,6.37,15.06,10.04,9.65,8.88,1.16,18.34,4.63,4.25,2.32,0.58,3.67,2.51,2.32,0.00,0.00,0.00,0.00,5.60,0.00,0.00,0.00,0.00,15.44,1.16,1.35,1.16,5.60,1.54,6.18,2.51,1.35,0.39,0.77,0.97,0.00,0.00,0.00,0.97,5.41,0.77,1.54,1.93,1.54,0.00,0.77,16.60,1.93,16.02,4.63,7.72,4.63,0.97,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.39,0.58,0.00,6.56,0.00,0.00,0.39,0.00,0.00,0.00,0.97,0.00,5.21,0.00,0.00
20190419.Three Awesome High School Science Projects.q3kSW633bsk.en.txt,1,2027,62.01,69.61,34.13,71.19,2027.00,18.20,84.46,53.48,14.90,6.12,1.83,1.04,2.22,0.30,0.74,8.78,8.88,12.19,8.73,6.61,6.91,0.59,14.90,4.34,2.66,1.97,3.11,1.78,3.06,2.71,0.30,0.05,0.00,0.15,6.81,0.00,0.05,0.30,0.10,10.51,2.52,1.97,1.33,2.22,1.04,2.52,2.76,1.87,0.54,0.25,0.99,0.15,0.30,0.20,0.30,7.40,1.33,2.47,3.60,2.12,0.10,2.86,10.90,1.23,13.32,2.12,7.89,3.45,4.34,0.30,0.10,0.39,0.00,0.00,1.18,0.00,0.25,0.74,0.25,0.00,3.21,0.10,0.20,0.10,0.00,0.00,0.00,0.20,0.00,2.32,0.00,0.30
20190919.The Bizarre Behavior of Rotating Bodies.1VPfZ_XzisU.en.txt,1,2477,78.10,58.46,51.84,58.61,2477.00,19.22,80.62,53.49,12.35,4.20,0.61,0.69,1.45,0.44,1.01,8.16,9.49,14.94,7.31,6.30,7.47,1.09,12.72,4.97,3.47,1.25,2.30,2.02,2.87,2.30,0.57,0.16,0.04,0.08,5.17,0.00,0.00,0.00,0.48,11.55,2.58,2.38,1.01,3.35,0.77,3.47,1.29,0.69,0.28,0.20,0.32,0.20,0.12,0.00,0.00,5.21,0.73,1.05,2.66,0.97,0.32,2.62,9.41,1.21,16.07,3.15,7.87,5.49,1.49,0.85,0.00,0.24,0.04,0.04,0.73,0.00,0.08,0.08,0.52,0.00,2.46,0.08,0.00,0.08,0.00,0.00,0.00,0.28,0.00,2.02,0.00,0.00
